nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg bu sri,0,0,-6.28957,106.7926448,"jl. kh muhasim iv, rt.11/rw.5, cilandak bar., kota jakarta selatan",ChIJGyMIk_TxaS4RM8vXx4sGRaw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg ikhlas,4.4,5,-6.290243,106.767519,"rt 008 rw 02, jl. ciputat raya, pd. pinang, kota jakarta selatan",ChIJw-aqfTLwaS4RON8UGf0Fbyo,Pondok Pinang,Cilandak,Kota Jakarta Selatan
warteg mulya bahari,5,1,-6.2903324,106.7707445,"jl. batan jl. adiaksa raya no.1, rt.1/rw.2, lb. bulus, kota jakarta selatan",ChIJWci8VM3xaS4Rd9MuqfXmo3s,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg ridho ibu,4.8,6,-6.2905936,106.7706668,"jl. lebak bulus raya no.1, rt.10/rw.9, lb. bulus, kota jakarta selatan",ChIJaySBTc3xaS4R_nLOHSxV02c,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg andini,0,0,-6.3113596,106.7917283,"jl. h. ipin, rt.2/rw.1, pd. labu, kota jakarta selatan",ChIJj5_2Iz3uaS4RbvcGth9kyt8,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg indra jaya bahar,5,2,-6.3092514,106.7920674,"jl. h. muslim, rt.6/rw.10, pd. labu, kota jakarta selatan",ChIJg8PXwiLuaS4RyEUpFP6gxuI,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg joko,4,2,-6.3090989,106.7943346,"jl. pinang raya no.68-69, rt.2/rw.1, pd. labu, kota jakarta selatan",ChIJcx9VbHHvaS4R7ha_aiOVVUs,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg laksana,4.6,14,-6.3110448,106.7850028,"jl. karang tengah i no.34, rt.1/rw.8, lb. bulus, kota jakarta selatan",ChIJTzXO1jruaS4RM4izdp0-M5s,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg ibu,4.7,16,-6.2965967,106.7918274,"jl. lb. bulus i, rt.4/rw.4, cilandak bar., kota jakarta selatan",ChIJ2fjtR97xaS4REdq2Ou6rVeU,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg bahari,0,0,-6.3118785,106.7945117,"jl. margasatwa no.27-10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJUbX9mu7vaS4RHtT4wU-6okA,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg jaya bahari,4.1,21,-6.3106695,106.7809988,"jl. karang tengah raya no.83, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJJ_ZbFjDuaS4RqDArDnb6e_w,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg bahari,4.5,2,-6.3039395,106.7817121,"no.10,, daerah khusus ibukota jkt ,indonesia, jl. karang tengah raya, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJ-Vz9kCjuaS4REwLyGfI7rIo,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg indahbahari,5,1,-6.3102726,106.7868177,"jl. h. gandun no.58, rt.4/rw.8, lb. bulus, kota jakarta selatan",ChIJXTncSTvuaS4R2jP09neRqdQ,Lebak Bulus,Cilandak,Kota Jakarta Selatan
wahyoo warteg bahari,0,0,-6.2967516,106.7866842,"jl. lb. bulus i no.rt.6, rt.15/rw.4, cilandak bar., kota jakarta selatan",ChIJ0a203j7xaS4RNtTQ6w2uQVM,Cilandak Barat,Cilandak,Kota Jakarta Selatan
